,Unnamed: 0,LocationID,Borough,Zone,service_zone,Address,Latitude,Longitude,New ID
237,237,238,Manhattan,Upper West Side North,Yellow Zone,"Upper West Side North, Manhattan",40.787045500000005,-73.9754162,165
238,238,239,Manhattan,Upper West Side South,Yellow Zone,"Upper West Side South, Manhattan",40.783429999999996,-73.96625,25
239,239,240,Bronx,Van Cortlandt Park,Boro Zone,"Van Cortlandt Park, Bronx",40.897251399999995,-73.8864989,238
240,240,241,Bronx,Van Cortlandt Village,Boro Zone,"Van Cortlandt Village, Bronx",40.82732,-73.92357,201
241,241,242,Bronx,Van Nest/Morris Park,Boro Zone,"Van Nest/Morris Park, Bronx",40.860341999999996,-73.8603057,48
242,242,243,Manhattan,Washington Heights North,Boro Zone,"Washington Heights North, Manhattan",40.8501001,-73.93541479999999,186
243,243,244,Manhattan,Washington Heights South,Boro Zone,"Washington Heights South, Manhattan",40.783429999999996,-73.96625,121
244,244,245,Staten Island,West Brighton,Boro Zone,"West Brighton, Staten Island",40.6291675,-74.110606,238
245,245,246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,"West Chelsea/Hudson Yards, Manhattan",40.783429999999996,-73.96625,246
246,246,247,Bronx,West Concourse,Boro Zone,"West Concourse, Bronx",40.8280775,-73.9256252,245
247,247,248,Bronx,West Farms/Bronx River,Boro Zone,"West Farms/Bronx River, Bronx",40.80816,-73.86764000000001,48
248,248,249,Manhattan,West Village,Yellow Zone,"West Village, Manhattan",40.73361,-74.00917,214
249,249,250,Bronx,Westchester Village/Unionport,Boro Zone,"Westchester Village/Unionport, Bronx",40.82732,-73.85013000000001,114
250,250,251,Staten Island,Westerleigh,Boro Zone,"Westerleigh, Staten Island",40.621215,-74.1318093,183
251,251,252,Queens,Whitestone,Boro Zone,"Whitestone, Queens",40.79454570000001,-73.8184673,188
252,252,253,Queens,Willets Point,Boro Zone,"Willets Point, Queens",40.796490000000006,-73.77901999999999,253
253,253,254,Bronx,Williamsbridge/Olinville,Boro Zone,"Williamsbridge/Olinville, Bronx",40.878924600000005,-73.8670478,254
254,254,255,Brooklyn,Williamsburg (North Side),Boro Zone,"Williamsburg (North Side), Brooklyn",40.71427,-73.95347,175
255,255,256,Brooklyn,Williamsburg (South Side),Boro Zone,"Williamsburg (South Side), Brooklyn",40.71427,-73.95347,81
256,256,257,Brooklyn,Windsor Terrace,Boro Zone,"Windsor Terrace, Brooklyn",40.655727299999995,-73.97670809999998,256
257,257,258,Queens,Woodhaven,Boro Zone,"Woodhaven, Queens",40.6892698,-73.857913,191
258,258,259,Bronx,Woodlawn/Wakefield,Boro Zone,"Woodlawn/Wakefield, Bronx",40.8984078,-73.8612203,181
259,259,260,Queens,Woodside,Boro Zone,"Woodside, Queens",40.745379799999995,-73.90541440000001,260
260,260,261,Manhattan,World Trade Center,Yellow Zone,"World Trade Center, Manhattan",40.7115025,-74.0124387,208
261,261,262,Manhattan,Yorkville East,Yellow Zone,"Yorkville East, Manhattan",40.783429999999996,-73.96625,14
262,262,263,Manhattan,Yorkville West,Yellow Zone,"Yorkville West, Manhattan",40.783429999999996,-73.96625,49
263,263,264,Unknown,NV,,"NV, Unknown",35.475689200000005,-114.8287476,263
264,264,265,Unknown,,,,34.220389000000004,70.38003140000001,265
